客户名称,项目名称,项目内容相关信息,项目所在城市,项目发布时间,中标公司,价格
上海市四川北路某单位,上海市四川北路某单位装卸载站点数字（孪生）全景系统（第二次）国内公开采购中标公告,生）全景系统 完成15个站点的数字孪生全景系统建设。 详见招标文件第二,上海,2023-3-2,上海大学,900000
上海市徐汇区建设和管理委员会,上海市徐汇区建设和管理委员会徐汇滨江地区公共区域综合养护管理项目单一来源单一来源公示,景、人脸识别的安全监控、1:1数字孪生空间、综合养护智能管理系统以及智,徐汇,2022-9-16,上海西岸城市运营管理有限公司,0
上海现代化工职业学院,化工与人类数字孪生科普馆升级改造项目中标结果公示,,上海,2023-6-21,,0
上海中移信息技术有限公司,中国移动上海公司上海中移信息2023年智慧城市数字孪生平台研发服务_中选结果公示,,上海,2023-5-16,上海吉运软件技术股份有限公司,0
韶关华南先进装备产业园管理委员会,华南先进装备产业园智慧园区建设项目中标公告,；2、园区IOC数字孪生可视化：园区综合态势感知(能耗环保)、敏捷招商,韶关,2022-12-16,中国移动通信集团广东有限公司韶关分公司,5001880
设备管理部,莱芜钢铁集团银山型钢有限公司炼钢厂基于数字孪生的转炉炼钢过程多源数据解析与工艺优化项目采购中标公告,,莱芜,2023-3-14,莱芜钢铁集团电子有限公司,0
深圳大学,SZUCG20230068FW 数字孪生城市数据治理技术咨询服务 中标（成交）结果公告,,深圳,2023-4-10,深圳力维智联技术有限公司,380000
深圳供电局有限公司,深圳供电局有限公司基于概率图模型的变电站二次系统数字孪生高级应用研究等服务招标中标公告,,深圳,2022-11-8,南方电网科学研究院有限责任公司,0
深圳市福田区香蜜湖片区建设发展事务中心,福田区香蜜湖片区建设发展事务中心香蜜湖片区数字孪生平台项目,,深圳,2023-6-9,深圳市智慧城市科技发展集团有限公司,24306000
深圳市福田区香蜜湖片区建设发展事务中心,福田区香蜜湖片区建设发展事务中心香蜜湖片区数字孪生平台项目中标（成交）结果公告,,深圳,2023-6-9,深圳市智慧城市科技发展集团有限公司,24306000
深圳市福田区香蜜湖片区建设发展事务中心,福田区香蜜湖片区建设发展事务中心香蜜湖片区数字孪生平台项目,,深圳,2023-5-23,深圳市智慧城市科技发展集团有限公司,24408000
深圳市疾病预防控制中心深圳市卫生检验中心深圳市预防医学研究所,面向全市域基于数字孪生城市的智能化辅助流调和快速处置平台采购结果公示,,深圳,2023-6-9,深圳市智慧城市科技发展集团有限公司,11900000
深圳市龙华区住房和建设局,深圳市龙华区住房和建设局龙华区既有重要公共建筑BIM逆向建模（第一批）中标（成交）结果公告,模型成果上传。模型成果上传至区数字孪生平台、可视化城市空间数字平台(C,深圳,2022-11-16,深圳市华阳国际工程设计股份有限公司,10971911
深圳市深汕湾科技发展有限公司,深汕湾科技园项目7号楼5层01号至02号房招租成交公示,/㎡/月的价格出租给深圳市臻芯数字孪生技术有限公司。 特予以公示。 公,深圳,2022-12-26,深圳市臻芯数字孪生技术有限公司,0
深圳市水务科技有限公司,深圳市水务科技有限公司泵站数字孪生平台建设项目结果公告,,深圳,2023-5-25,深圳盟云全息科技有限公司,1775000
深圳市水务科技有限公司,深圳市水务科技有限公司泵站数字孪生平台建设项目结果公示,,深圳,2023-5-22,深圳盟云全息科技有限公司,1775000
深圳市水务科技有限公司,东湖智慧厂站三维模块实施项目（一期）结果公告,果如下： 中标人：北京五一视界数字孪生科技股份有限公司 中标价：128,深圳,2023-3-18,北京五一视界数字孪生科技股份有限公司,1280000
深圳市特区建设发展集团有限公司,深圳市海洋新兴产业基地市政道路工程(一期)设计智慧化咨询服务邀请函,新城CIM平台、数据采集、建设数字孪生城市提供支撑。 邀请函名称: 深,深圳,2023-1-11,,0
深圳职业技术学院,深圳职业技术学院工业互联网PLC数字孪生设备中标公告,,广东,2022-12-6,湖南顶壹信息技术有限公司,122000
深圳职业技术学院,工业互联网PLC数字孪生设备采购项目中标（成交）结果公示,,深圳,2022-12-6,湖南顶壹信息技术有限公司,122000
神华国华九江发电有限责任公司,江西公司神华九江公司基于5G+数字孪生技术的电厂生产安全管理研究询价采购,建设基于数字孪生技术的电厂生产安全管理三维可视化平台，构建电厂三维可视化模型，在三维模型上展示电厂生产安全数据，通过立体视觉标定和校准实现厂区人员无感跟踪定位，并利用现有AI视觉大数据平台信息结合电厂三维建模实现电厂实景再现。最终实现电厂立体管控、综合感知、智能联动及可视化管理等服务和应用，提升电厂安全管理精细化水平。,九江,2023-6-21,安徽炬视科技有限公司,0
神华国能集团有限公司北京物资分公司,国神公司府谷电厂基于数字孪生的碳排放监测平台项目服务采购公开招标中标结果公告,,榆林,2023-6-25,北京藤蔓微谷科技有限公司,0
神华国能集团有限公司北京物资分公司,国神公司府谷电厂基于数字孪生技术的锅炉水冷壁智能监测研究服务采购公开招标中标结果公告,"锅炉水冷壁,智能监测研究服务",榆林,2023-6-25,北京中安吉泰科技有限公司,4080000
神华准能资源综合开发有限公司,准能集团准资公司研发中心酸法氧化铝电解操作与数字孪生实训平台项目采购公开招标中标结果公告,,,2022-8-1,中南大学,0
沈阳工业大学,沈阳工业大学机械工程学院多模块数字孪生仿真平台建设设备采购结果公告,,沈阳,2022-9-26,沈阳安世亚太科技有限公司,713000
沈阳航空航天大学,沈阳航空航天大学工训中心教学用数字孪生与精密铸造等仪器设备采购项目W2022163结果公告,,沈阳,2022-8-30,长春联创世纪科技发展有限公司,848860
沈阳化工大学,沈阳化工大学基础教学实验实训建设项目-微电网数字孪生实验教学平台中标（成交）结果公告,,沈阳,2022-12-27,杭州澳宇自动化设备有限公司,1074800
沈阳化工大学,沈阳化工大学基础教学实验实训建设项目-微电网数字孪生实验教学平台结果公告,,沈阳,2022-12-21,,0
沈阳理工大学,沈阳理工大学先进材料制备与性能表征设备采购项目结果公告,003 包组名称：智能材料加工数字孪生平台 供应商名称：辽宁优代科技有,沈阳,2022-12-23,沈阳博楷恒商贸有限公司,0
沈阳理工大学,沈阳理工大学面向军品生产的数字孪生及虚拟仿真实验平台采购项目结果公告,,沈阳,2022-9-15,沈阳希洛德科技有限公司,3885000
沈阳某单位,信息基础设施数字孪生试点应用系统建设评标结果公示,,北京,2022-7-20,北京优锘科技有限公司,444600
沈阳职业技术学院,沈阳职业技术学院2022年高端装备智能制造中心（工业4.0学习工厂）建设项目结果公告,00.0000 货物类 名称：数字孪生建模平台（A02010105台式,沈阳,2023-2-9,西门子工厂自动化工程有限公司,12451900
石家庄煤矿机械有限责任公司,数字孪生系统项目成交公告,,石家庄,2023-5-7,,0
石家庄铁道大学,【石家庄铁道大学交通基础设施结构状态数字孪生模型实验平台采购项目】中标结果公示,,石家庄,2022-12-24,石家庄雄发科技有限公司,2992800
石家庄铁道大学,石家庄铁道大学交通基础设施结构状态数字孪生模型实验平台采购项目中标结果公告,,河北,2022-12-22,石家庄雄发科技有限公司,2992800
石家庄铁道大学,石家庄铁道大学交通基础设施结构状态数字孪生模型实验平台采购项目中标结果公告,,石家庄,2022-12-22,石家庄雄发科技有限公司,2992800
石家庄铁路职业技术学院,石家庄铁路职业技术学院轨道交通智能运维机电技术与装备实训室项目公开招标中标公告,述： 四、主要标的信息 名称：数字孪生车站仿真平台、火灾自动报警联动连,石家庄,2023-6-9,金凤凰科技（天津）有限公司,2556800
石家庄土地开发中心有限公司,【遥感实景三维与城市数字孪生研发项目】中标结果公示,,石家庄,2023-1-10,石家庄合齐测绘服务有限公司,796000
首讯公司,首讯公司“高速公路收费站数字孪生系统设备采购与建设项目 ”公开竞争性比选结果公示,,渝北区,2022-12-5,重庆电信系统集成有限公司,0
首讯公司,首讯公司“高速公路隧道数字孪生系统设备采购与建设项目 ”公开竞争性比选结果公示,,渝北区,2022-12-5,重庆通慧网联科技有限公司,680918
首讯公司,首讯公司“外场普通高速路段数字孪生系统设备采购与建设项目”公开竞争性比选结果公示,,渝北区,2022-12-5,北京百度网讯科技有限公司,0
水利部大坝安全管理中心,水利部大坝安全管理中心水利部数字孪生安全监控感知预警能力建设项目（一期）——部级小水库安全监测信息汇聚系统中标公告,,江苏,2023-6-9,南京瑞迪水利信息科技有限公司,5016800
水利部大坝安全管理中心,水利部大坝安全管理中心水利部数字孪生安全监控感知预警能力建设项目（一期）——部级小水库大坝安全监测监督系统中标公告,,江苏,2023-6-9,江苏南大先腾信息产业股份有限公司,4745000
水利部交通运输部,水利部交通运输部国家能源局南京水利科学研究院水陆全域数字孪生一体化装备中标公告,,江苏,2023-5-25,上海华测导航技术股份有限公司,1689000
水利部信息中心,水利部信息中心数字孪生三峡模拟仿真引擎建设中标公告,,北京,2023-6-21,北京超图软件股份有限公司,1480000
水利部信息中心,水利部信息中心2023年度数字孪生三峡后续工作项目管理及综合决策支持开发中标公告,,北京,2023-6-8,航天宏图信息技术股份有限公司,3960000
顺德职业技术学院,顺德职业技术学院中央空调虚拟仿真实训中心建设结果公告,"软硬件 斯帝慕等 暖通空调系统数字孪生软件V3.0等 1(批) 1,0",佛山,2022-9-7,北京斯帝慕信息技术有限公司,1078000
四川省通信产业服务有限公司雅安市分公司,中国雅云基础设施建设项目（数字孪生运管平台）环境监测系统、能耗管理系统部分、智慧照明采购公示,,雅安,2022-9-23,成都宏恒嘉电子有限公司,332047
四川省通信产业服务有限公司雅安市分公司,国雅云基础设施建设项目（数字孪生运管平台）二维码识别器、网关部分、视频监控部分、交换机部分、视频接入网关部分、硬盘部分、无线对讲系统采购公示,,雅安,2022-9-23,四川炬荣信息科技发展有限公司,453977
四川省长葫灌区运管中心,长葫灌区“十四五”续建配套与现代化改造工程信息化工程评标结果公示,20901 20221230 数字孪生平台建设、信息基础设施建设、智慧,成都,2023-4-28,成都九洲电子信息系统股份有限公司,11054330
四川水利职业技术学院,四川水利职业技术学院VR数字孪生平台采购项目公开招标中标公告,,成都,2023-6-21,四川省商投信息技术有限责任公司,1919000
四川西星电力科技咨询有限公司,四川科锐得电力通信技术有限公司2022年10月第三批非招标采购项目成交结果公告,技术有限公司2022年智慧机房数字孪生机房基础构建能力提升辅助开发实施,成都,2022-11-11,四川省创世华软科技有限公司,0
四川中电启明星信息技术有限公司,四川中电启明星信息技术有限公司 2023年第二次（非物资）公开竞争性谈判 成交结果公告,02-FF07 监测可视化系统数字孪生功能改造 四川中电启明星信息技术,成都,2023-3-13,四川中电启明星信息技术有限公司,0
四川中烟工业有限责任公司什邡卷烟厂,四川中烟工业有限责任公司什邡卷烟厂关于四川中烟工业有限责任公司雪茄烟叶发酵工坊建设项目房屋建筑工程的评标结果公示,关业务领域核心要素的数字运营、数字孪生空间、AI智能分析、组织效能优化,德阳,2022-9-30,湖北中烟工业有限责任公,0
苏美达国际技术贸易有限公司,变电站数字孪生微应用建设信息系统实施第三方测试成交公告,,成都,2023-2-24,南瑞集团有限公司,0
苏美达国际技术贸易有限公司,信通专业数字孪生数据管理及场景服务成交公告,,南京,2022-12-19,沈阳思航网络工程有限公司,0
苏美达国际技术贸易有限公司,信通专业数字孪生建模服务成交公告,,南京,2022-12-12,北京优锘科技有限公司,0
苏美达国际技术贸易有限公司,数字孪生客户端软件采购项目成交公告,,北京,2022-12-2,北京天成易合科技有限公司,0
苏美达国际技术贸易有限公司,变电站数字孪生微应用系统实施服务成交公告,,北京,2022-12-2,北京天成易合科技有限公司,0
苏美达国际技术贸易有限公司,国网辽宁大连中山供电公司10kV国会甲线电缆数字孪生技术改造项目电缆数字孪生系统成交公告,,大连,2022-10-17,北京国遥新天地信息技术股份有限公司,0
苏州高等职业技术学校,苏州高等职业技术学校关于2022年苏州高等职业技术学校领航建设项目公开招标中标公告,PQArt V9 5套 配套 数字孪生虚拟调试软件 华航唯实 PQFa,苏州,2022-11-28,北京华航唯实机器人科技股份有限公司,1585510
苏州工业园区高端制造与国际贸易区管理委员会,苏州工业园区高端制造与国际贸易区管理委员会关于金光产业园数字孪生场景建设的成交公告,,苏州,2023-4-4,,0
苏州工业园区人力资源和社会保障局,苏州工业园区人力资源和社会保障局关于2022年园区项目制培训（第七批）第一标段：智能制造数字技术应用的成交公告,服务要求：1)熟悉工业互联网和数字孪生技术；2)工程师职称或者技师级别,苏州,2023-1-17,江苏汇博机器人技术股份有限公司,624000
苏州科技大学,20220071号电子学院建筑电气与智能化虚拟仿真系统竞争性磋商成交公告,气与智能化虚拟仿真系统 品牌：数字孪生平台V3.0、场景建模定制、系统,苏州,2022-8-30,盈嘉互联(北京)科技有限公司,394000
苏州市自然资源和规划局苏州国家历史文化名城保护区（姑苏）分局,苏州市自然资源和规划局苏州国家历史文化名城保护区（姑苏）分局关于姑苏区城市信息模型（CIM）平台数据及应用部分建设项目 （一期）软件开发服务公开招标中标公告,,苏州,2022-10-18,苏州市测绘院有限责任公司,9338000
苏州苏高新数字经济产业发展有限公司,苏州苏高新数字经济产业发展有限公司关于数字孪生智慧安保可视化决策系统的中标公告,,江苏,2022-11-2,,0
苏州新建元数字科技有限公司,苏州新建元数字科技有限公司关于苏州工业园区数字孪生公共服务平台的成交公告,,苏州,2023-3-9,江苏风云科技服务有限公司,1798000
苏州新建元数字科技有限公司,苏州新建元数字科技有限公司关于苏州工业园区数字孪生底座平台总体设计的成交公告,,苏州,2023-2-20,中国信息通信研究院,2550000
苏州新建元数字科技有限公司,苏州新建元数字科技有限公司关于苏州工业园区市场大厦智慧楼宇数字孪生场景项目的成交公告,,苏州,2022-12-12,苏州工业园区测绘地理信息有限公司,993000
苏州新建元数字科技有限公司,苏州新建元数字科技有限公司关于苏州工业园区“数字孪生园区创新产业基地顶层规划设计”项目的成交公告,,苏州,2022-8-2,中国信息通信研究院,3958000
苏州研发中心,云能力中心2022-2024年数字孪生技术资源采购项目_中选结果公示,,广州,2022-8-23,视云融聚广州科技有限公司,0
宿迁市宿城区水利工程建设服务中心,洪泽湖周边滞洪区近期建设工程数字孪生工地建设管理系统中标公告,,南京,2022-7-19,南京市水利规划设计院股份有限公司,936000
遂宁市安居区水利局,遂宁市安居区水利局数字孪生琼江（遂宁段）安居水文站基础信息化建设项目中标（成交）结果公告,,遂宁,2023-2-24,四川逾霄科技有限公司,394300
遂宁市安居区水利局,遂宁市安居区水利局数字孪生琼江（遂宁段）建设项目中标（成交）结果公告,,遂宁,2022-12-13,北京金水信息技术发展有限公司,8987590
台州市水利局,关于台州市水利局数字孪生椒江建设先行先试项目的中标(成交)结果公告,,台州,2022-10-21,中国电建集团华东勘测设计研究院有限公司,10035000
太仓市公安局,太仓市公安局关于公安网大数据平台扩容中标公告,套 1 396800 6 运维数字孪生平台 华尊数图融合应用系统v1.,苏州,2022-10-18,深圳市华尊科技股份有限公司,2893680
太仓市公安局,太仓市公安局关于公安网大数据平台扩容中标公告,套 1 396800 6 运维数字孪生平台 华尊数图融合应用系统v1.,苏州,2022-10-10,深圳市华尊科技股份有限公司,2893680
太湖流域管理局水文局,太湖局水政监察基础设施建设（三期）执法巡查监控工程项目中标公告,重点区域三维专题图建设（包括与数字孪生太湖的对接）、执法大数据分析智能,上海,2022-9-28,北京七兆科技有限公司,2120000
太原理工大学,大科学装置数字孪生数据智能存储资源池采购结果公告,,太原,2022-11-27,山西恒隆网络科技有限公司,132990
太原理工大学,大科学装置数字孪生数据可视化渲染平台采购结果公告,,太原,2022-11-27,山西恒隆网络科技有限公司,89100
太原理工大学,太原理工大学流域数字孪生仿真系统建模软件套装平台采购项目成交公告,,太原,2022-10-31,山西云之数信息技术有限公司,1168600
太原幼儿师范高等专科学校,太原幼儿师范高等专科学校无人机智慧教育实训室设备项目的结果公告,机编队飞行系统，S1+；课程及数字孪生资源包，定制；无人机室内红外预警,太原,2022-12-8,远洋智慧科技（天津）有限公司,466800
太原中车轨道交通装备有限公司,太原中车轨道交通装备有限公司基于数字孪生的地铁车辆智能运维系统采购项目中标公告,,太原,2022-8-9,太原市轨道交通智慧建造科技有限公司,925000
泰山学院,泰山学院智能制造数字孪生实验教学平台采购项目（21234）中标（成交）公告,,泰安,2022-11-7,山东经世智能科技有限公司,1422000
天津大学,天津大学机械学院智能网联汽车驾驶员在环多车交互集群测试系统（第二次）成交公告,物单价(元) 1 北京五一视界数字孪生科技股份有限公司 天津大学机械学,天津,2022-12-29,北京五一视界数字孪生科技股份有限公司,1986500
天津大学,天津大学机械学院全要素数字孪生智能制造系统项目中标公告,,天津,2022-12-19,天津市天森智能设备有限公司,4473300
天津大学,天津大学机械学院具有数字孪生和维护功能的六轴联动智能可重构加工中心采购项目成交公告,,天津,2022-12-19,天津恒昌宇数控科技有限公司,1835000
天津市普迅电力信息技术有限公司,国网信息通信产业集团有限公司2022年第十四次授权（非物资）公开竞争性谈判（信产天津普迅）成交结果公告,214SQ-FF01 智慧园区数字孪生模块开发服务 天津市普迅电力信息,天津,2022-12-9,北京星绘科技发展有限公司,0
天津市水务工程建设事务中心,宝坻区引江供水工程(天津市南水北调中线工程宝坻引江供水工程数字孪生相关数字化、信息化工程)中标结果公示,,宝坻,2023-5-19,星际空间（天津）科技发展有限公司,2860000
天翼云科技有限公司上海分公司,2022年天翼云科技有限公司上海分公司低碳建筑数字孪生项目技术服务比选中选人公示,,上海,2022-12-12,上海铂海网络科技有限公司,0
铁力市水利工程项目建设管理处,铁力市水利数字孪生平台建设项目,,黑龙江,2023-6-26,黑龙江省水利水电勘测设计研究院,14680000
同济大学,车路一体实验系统（子系统13-数字孪生驾驶风险监控与干预系统）采购项...,,上海,2023-5-6,苏州圆信云网信息科技有限公司,1880000
同济大学,三相映射交通数字孪生集成系统（子系统1虚拟云-测试实车双向映射数字孪生系统）采购项目中标公告,,上海,2023-3-31,北京万集科技股份有限公司,29525000
同济大学,三相映射交通数字孪生集成系统（子系统12，城市级智慧停车管控平台系统...,,上海,2023-3-29,上海苏通信息科技有限公司,985000
同济大学,增材制造、特种加工、精密压铸、精密检测实训设备采购中标公告,"¥433,000.00 5 数字孪生系统 品牌：菲尼克斯 型号：非标",上海,2023-3-23,菲尼克斯南京智能制造技术工程有限公司,0
同济大学,三相映射交通数字孪生集成系统（子系统1虚拟云-测试实车双向映射数字孪...,,上海,2023-3-22,北京万集科技股份有限公司,29525000
同济大学,同济大学三相映射交通数字孪生集成系统(子系统3-自动驾驶系统研发平台)采购项目中标公告,,上海,2023-3-21,北京五毫秒科技有限公司,1962000
同济大学,同济大学三相映射交通数字孪生集成系统(子系统3-自动驾驶系统研发平台...,,上海,2023-3-21,北京五毫秒科技有限公司,1962000
童亭煤矿,童亭矿立井井架变形及振动安全的实时在线监测流标公示,的研究分析能力，建立井架结构的数字孪生模型，根据变形和振动监测数据，可,,2023-3-3,,0
网络空间安全学院,网络空间安全学院大型无人机材料采购竞价结果公示,无人机平台模块 / 6套 3 数字孪生软件模块 / 1套 公示期从20,北京,2023-2-17,北京大鹄科技有限公司,475000
网络空间安全学院,网络空间安全学院大型无人机材料采购竞价结果公示,名 称 规格型号 数 量 1 数字孪生软件模块 / 1套 2 大型物流,北京,2023-1-13,北京学海无涯科技有限公司,475000
威海市水务局,威海市水务局数字孪生黄垒河流域建设项目公开招标中标结果公告,,威海,2023-5-8,,2600
维达纸业浙江有限公司,维达纸业（浙江）有限公司5G+未来工厂数字孪生项目中标结果公告,,衢州,2022-9-22,中国移动通信集团浙江有限公司衢州分公司,3000000
潍坊职业学院,潍坊职业学院潍坊职业学院数字孪生数据可视化云平台教学设备购置成交公告,,潍坊,2022-7-22,济南信诚致远电子技术有限公司,222348
温州市龙湾区人民政府办公室,关于龙湾区数字孪生底座（空间中心）项目（一期）项目的中标(成交)结果公告[浙江创嘉项目管理有限公司],,温州,2022-11-11,温州设计集团有限公司、浙江海予信息技术有限公司（联合体）,1448000
温州市鹿城区人民政府办公室,浙江创嘉项目管理有限公司关于鹿城区“智・平安”平安要素智控二期项目（区数字孪生数据底座）的中标(成交)结果公告,,温州,2023-1-11,温州设计集团有限公司,3480000
温州市自然资源和规划局,关于温州市实景三维数字孪生基础系统项目(温州市市域空间中心迭代升级）的中标(成交)结果公告[浙江创嘉项目管理有限公司],,温州,2022-10-21,浙江城安大数据有限公司,2700000
文山电视调频骨干转播台,文山电视调频骨干转播台智慧化“数字孪生”平台二期成交结果公告,,昆明,2023-4-27,北京海视恒通科技有限公司,1103500
无锡城建发展集团有限公司,数字孪生项目（木结构大楼试点）预中标结果公示,,无锡,2022-7-6,江苏中铭慧业科技有限公司,1385000
无锡城建发展集团有限公司,数字孪生项目（木结构大楼试点）预中标结果公示,,无锡,2022-7-6,江苏中铭慧业科技有限公司,1385000
无锡华润燃气有限公司,无锡华润燃气有限公司智慧场站数字孪生大屏展示中标结果公告,,无锡,2022-11-1,宜兴四方数智科技有限公司,374980
无锡市城市道桥科技有限公司,市政配套路用材料科技示范项目智慧工厂项目预中标结果公示,采集、MES智能制造执行系统、数字孪生工厂及综合信息管理系统软件及配套,无锡,2022-12-27,朗新科技集团股份有限公司,1535000
无锡市教育局,无锡市教育局关于无锡学院文创产品开发实验室项目的中标公告WXJYCG2023-003,3 文创产品开发实验室 智能数字孪生模型机 威布三维 10 1280,无锡,2023-5-9,南京金涵源建设工程有限公司,1464700
无锡市蠡湖未来城科创投资有限公司,无锡蠡湖未来城数字孪生城市专项规划,,无锡,2023-4-14,中国信息通信研究院,1520000
无锡市新吴区应急管理局,无锡市公共资源交易中心新吴分中心关于数字孪生仿真应急预案演练项目的成交公告WXXWQJC2023-034,,无锡,2023-4-24,江苏伟岸纵横科技股份有限公司,990000
无锡太湖国际科技园管理办公室,无锡市公共资源交易中心新吴分中心关于太湖湾科创城数字孪生智慧园区管理平台采购项目的成交公告WXXWQJC2022-103,,无锡,2023-1-17,朗新科技集团股份有限公司,2470000
无锡学院,无锡市教育局关于无锡学院文创产品开发实验室项目的中标公告WXJYCG2023-003,3 文创产品开发实验室 智能数字孪生模型机 威布三维 10 1280,无锡,2023-5-9,南京金涵源建设工程有限公司,1464700
芜湖市发展和改革委员会,智慧长江（芜湖）综合管理平台升级改造项目中标（成交）结果公告,、船舶、航标碰撞预警系统 7、数字孪生“十里江湾”建设 8、其他业务系,芜湖,2022-10-17,安徽阡陌网络科技有限公司,6078000
芜湖市经济和信息化局,中国工业互联网大赛·工业互联网+数字孪生专业赛专项中标结果公告,,芜湖,2022-10-10,中国信息通信研究院,3492000
五河县数据资源管理局,五河县数据中心暨数字五河建设项目前期工作成交结果公告,数据平台、智慧中枢、业务中台、数字孪生）+N个领域场景应用的全场景化综,蚌埠,2022-9-20,安徽电信规划设计有限责任公司,232000
武汉城市职业学院,武汉城市职业学院区块链数据管理平台及数字孪生校园一期项目中标（成交）结果公告,,武汉,2022-8-23,武汉市云链智慧区块链科技有限公司,842700
武汉城市职业学院,武汉城市职业学院区块链数据管理平台及数字孪生校园一期项目中标(成交)结果公告,,武汉,2022-7-26,湖北九珠辰运智能科技有限公司,610000
武汉城市职业学院,【武汉市】武汉城市职业学院区块链数据管理平台及数字孪生校园一期项目结果公告,,武汉,2022-7-26,湖北九珠辰运智能科技有限公司,610000
武汉城市职业学院,武汉城市职业学院区块链数据管理平台及数字孪生校园一期项目中标（成交）结果公告,,武汉,2022-7-26,湖北九珠辰运智能科技有限公司,610000
武汉船舶职业技术学院,武汉船舶职业技术学院虚拟调试与虚拟加工实训室成交结果公告,9(万元) 货物类 名称：数控数字孪生系统 品牌（如有）：亚龙 规格型,武汉,2022-11-21,亚龙智能装备集团股份有限公司,1690000
武汉大学,武汉大学3D打印技术实训平台及机器人控制技术实训平台采购项目中标公告,：深圳市博科系统科技有限公司 数字孪生系统 深圳市博科系统科技有限公司,湖北,2023-2-17,武汉天之逸科技有限公司,0
武汉大学,武汉大学地理信息平台采购项目中标公告,中科智云科技（武汉）有限公司 数字孪生智能计算服务器 中科可控 0St,湖北,2022-12-27,北京东方佳气科技有限公司,0
武汉大学,武汉大学遥感人工智能（LuojiaNet）实习实训平台、时空信息处理特色化示范性软件学院教学实验设备、遥感大创中心元宇宙多源实时智能感知可视一体化平台采购项目中标公告,2包：深圳市智绘科技有限公司 数字孪生机械臂教学系统 珞石（北京）科技,湖北,2022-12-26,武汉中创普华科技有限公司,0
武汉大学,武汉大学智能机器人实验室设备采购项目中标公告,公司 （核心产品）：机器人集群数字孪生实验系统 （核心产品）：江西承稻,湖北,2022-11-23,北京度量科技有限公司,0
武汉大学,武汉大学智能机器人实验室设备采购项目中标公示,公司 （核心产品）：机器人集群数字孪生实验系统 （核心产品）：江西承稻,武汉,2022-11-23,北京度量科技有限公司,1377200
武汉理工大学,武汉理工大学水路交通运行控制测试验证系统中标公告,通科技有限公司 港口交通感知及数字孪生系统，港口智能交通管控系统 上海,湖北,2022-12-21,广东蓝图信息技术有限公司,0
武汉理工大学,武汉理工大学工业智能与数字孪生集成测试系统项目中标公告,,湖北,2022-12-19,领聿科技（武汉）有限公司,0
武汉轻工大学,武汉轻工大学2022年武汉轻工大学艺术学院数字孪生虚拟仿真设计研究实验室建设中标(成交)结果公告,,武汉,2022-12-4,湖北新华文化教育科技有限公司,869800
武汉软件工程职业学院,武汉软件工程职业学院工业机器人数字孪生虚拟调试实训室项目中标（成交）结果公告,,武汉,2022-8-19,武汉高德信息产业有限公司,2460000
武汉软件工程职业学院,武汉软件工程职业学院工业机器人数字孪生虚拟调试实训室项目中标(成交)结果公告,,武汉,2022-8-19,武汉高德信息产业有限公司,2460000
武汉市第二卫生学校,武汉市第二卫生学校护理类优质专业和课程及实训基地建设设备中标(成交)结果公告,基于数字孪生技术的护理穿刺注射智能示教系统、基于数字孪生技术的护理穿刺注射学生智能训练软件系统、可视化实训系统、高级心肺复苏训练及考核系统、基础护理模拟实训室设备、模拟病房实训室设备、虚拟仿真训练软件模块等，详见采购文件第三章。,武汉,2023-6-19,深圳佳博旭科技有限公司,1295666
武汉市第二卫生学校,武汉市第二卫生学校护理类优质专业和课程及实训基地建设中标(成交)结果公告,8(万元) 货物类 名称：基于数字孪生技术的护理穿刺注射智能示教系统,武汉,2022-9-20,深圳妙创医学技术有限公司,2595800
武汉市东西湖初级中学,东初-青少年智能活动中心实验室设备、智慧书法室设备中标结果公告,7.8(万元) 货物类 名称：数字孪生云端柔性机器人（核心产品）等 品,武汉,2022-10-12,武汉盛世恒运商贸有限公司,2378000
武汉市解放公园管理处,武汉市解放公园管理处塔园房屋招租项目中标公告,服务时间 服务标准 1 执端数字孪生（武汉）文化科技有限公司 塔园房,湖北,2022-10-17,执端数字孪生(武汉)文化科技有限公司,974561
武汉市经济和信息化局,武汉市经济和信息化局2022年“万企育才”招标培训第一批项目中标（成交）结果公告,9.3（万元） 服务类 名称：数字孪生与智能制造 服务范围：数字孪生与,武汉,2022-8-16,武汉欣略科技咨询有限公司,195000
武汉市自然资源和规划局,武汉市自然资源和规划局数字孪生城市技术框架与二七、谌家矶等5个试点建设中选结果公告,,武汉,2023-6-19,武汉市自然资源和规划信息中心,0
武汉数字工程研究所,基于数字孪生的云平台仿真与评估技术采购中标公告,,武汉,2022-8-10,华中科技大学,0
婺源县水利局,婺源县“千吨万人”水厂农村供水信息化建设采购项目询价结果公告,1 7500 7500 水厂数字孪生组态 1 数字孪生底图搭建 项,上饶,2023-2-23,,0
西安电子科技大学,西安电子科技大学 - 结果公告 (CB107012022000154),54 申购主题： 工程训练中心数字孪生智能制造系统展示大屏 采购单位：,西安,2022-9-5,西安福斯特瑞电子科技有限公司,312188
西安泛华科技开发有限公司,西安泛华-数字孪生运维管理软件运行维护管理及三库软件产品开发,,西安,2022-11-18,北京诚拓致远科技有限公司,2045000
西安建筑科技大学,电工电子实验实训部设备购置采购项目中标（成交）结果公告,有实验均有组态图进行动态跟踪及数字孪生资源包进行辅助教学。 2.要求采,西安,2022-12-30,陕西守诺电子科技有限公司,589800
西安热工研究院有限公司,[西安热工研究院有限公司生产项目基于可视化无代码数字孪生建模的厂级供热统筹优化平台框架协议采购] 中标结果公示,,西安,2022-7-11,上海恕笃智能科技有限公司,8960000
